	136	0	28	-1	128	8	3	-1	23
	128	29	61	136	120	0	3	-1	22
	120	62	102	128	193	153	3	-1	21
	193	103	118	120	185	25	3	-1	19
	112	119	143	-1	104	16	2	-1	3
	104	144	150	112	17	80	2	-1	2
	153	151	206	120	41	33	2	-1	2
	17	207	288	104	-1	-1	1	-1	1
	88	289	320	-1	-1	-1	1	-1	1
	80	321	358	104	-1	-1	1	-1	1
	72	359	422	-1	-1	-1	1	-1	1
	64	423	430	-1	-1	-1	1	-1	1
	56	431	501	-1	-1	-1	1	-1	1
	48	502	535	-1	-1	-1	1	-1	1
	40	536	569	-1	-1	-1	1	-1	1
	32	570	575	-1	-1	-1	1	-1	1
	24	576	579	-1	-1	-1	1	-1	1
	16	580	611	112	-1	-1	1	-1	1
	8	612	656	136	-1	-1	1	-1	1
	0	657	664	128	-1	-1	1	-1	1
	185	665	697	193	177	121	3	-1	18
	177	698	731	185	170	129	3	-1	17
	170	732	779	177	162	130	3	-1	16
	146	780	802	-1	58	137	2	-1	2
	169	803	843	-1	10	49	2	-1	2
	26	844	918	-1	-1	-1	1	-1	1
	10	919	957	169	-1	-1	1	-1	1
	2	958	959	-1	-1	-1	1	-1	1
	96	960	962	-1	-1	-1	1	-1	1
	161	963	977	-1	57	1	2	-1	2
	145	978	1032	-1	113	81	2	-1	2
	129	1033	1036	177	-1	-1	1	-1	1
	121	1037	1061	185	-1	-1	1	-1	1
	113	1062	1067	145	-1	-1	1	-1	1
	105	1068	1094	-1	-1	-1	1	-1	1
	97	1095	1100	-1	-1	-1	1	-1	1
	89	1101	1102	-1	-1	-1	1	-1	1
	81	1103	1123	145	-1	-1	1	-1	1
	73	1124	1125	-1	-1	-1	1	-1	1
	65	1126	1146	-1	-1	-1	1	-1	1
	57	1147	1160	161	-1	-1	1	-1	1
	49	1161	1181	169	-1	-1	1	-1	1
	41	1182	1207	153	-1	-1	1	-1	1
	33	1208	1211	153	-1	-1	1	-1	1
	25	1212	1244	193	-1	-1	1	-1	1
	9	1245	1288	-1	-1	-1	1	-1	1
	1	1289	1320	161	-1	-1	1	-1	1
	162	1321	1347	170	123	154	3	-1	15
	123	1348	1406	162	115	83	3	-1	13
	154	1407	1409	162	114	122	2	-1	2
	114	1410	1531	154	-1	-1	1	-1	1
	137	1532	1553	146	-1	-1	1	-1	1
	138	1554	1611	-1	-1	-1	1	-1	1
	130	1612	1656	170	-1	-1	1	-1	1
	122	1657	1664	154	-1	-1	1	-1	1
	106	1665	1683	-1	-1	-1	1	-1	1
	98	1684	1692	-1	-1	-1	1	-1	1
	90	1693	1714	-1	-1	-1	1	-1	1
	82	1715	1730	-1	-1	-1	1	-1	1
	74	1731	1821	-1	-1	-1	1	-1	1
	66	1822	1844	-1	-1	-1	1	-1	1
	58	1845	1848	146	-1	-1	1	-1	1
	50	1849	1859	-1	-1	-1	1	-1	1
	42	1860	1870	-1	-1	-1	1	-1	1
	18	1871	1890	-1	-1	-1	1	-1	1
	115	1891	1897	123	107	51	3	-1	11
	107	1898	1942	115	91	172	3	-1	10
	172	1943	2031	107	164	100	2	-1	8
	99	2032	2044	-1	34	11	2	-1	2
	34	2045	2176	99	-1	-1	1	-1	1
	91	2177	2208	107	67	35	2	-1	2
	83	2209	2298	123	75	59	2	-1	2
	75	2299	2309	83	-1	-1	1	-1	1
	67	2310	2325	91	-1	-1	1	-1	1
	59	2326	2329	83	-1	-1	1	-1	1
	51	2330	2351	115	-1	-1	1	-1	1
	43	2352	2433	-1	-1	-1	1	-1	1
	35	2434	2460	91	-1	-1	1	-1	1
	27	2461	2488	-1	-1	-1	1	-1	1
	19	2489	2583	-1	-1	-1	1	-1	1
	11	2584	2665	99	-1	-1	1	-1	1
	3	2666	2741	-1	-1	-1	1	-1	1
	164	2742	2798	172	156	101	2	-1	7
	156	2799	2803	164	141	60	2	-1	6
	141	2804	2853	156	133	93	2	-1	5
	148	2854	2900	-1	13	76	2	-1	2
	140	2901	2943	-1	77	84	2	-1	2
	101	2944	3055	164	-1	-1	1	-1	1
	77	3056	3148	140	-1	-1	1	-1	1
	109	3149	3183	-1	53	29	2	-1	2
	13	3184	3240	148	-1	-1	1	-1	1
	132	3241	3252	-1	124	108	2	-1	3
	124	3253	3283	132	92	4	2	-1	2
	116	3284	3318	-1	52	36	2	-1	2
	108	3319	3346	132	-1	-1	1	-1	1
	100	3347	3412	172	-1	-1	1	-1	1
	92	3413	3484	124	-1	-1	1	-1	1
	84	3485	3486	140	-1	-1	1	-1	1
	76	3487	3491	148	-1	-1	1	-1	1
	68	3492	3498	-1	-1	-1	1	-1	1
	60	3499	3573	156	-1	-1	1	-1	1
	52	3574	3602	116	-1	-1	1	-1	1
	44	3603	3607	-1	-1	-1	1	-1	1
	36	3608	3614	116	-1	-1	1	-1	1
	28	3615	3620	-1	-1	-1	1	-1	1
	20	3621	3623	-1	-1	-1	1	-1	1
	12	3624	3633	-1	-1	-1	1	-1	1
	4	3634	3654	124	-1	-1	1	-1	1
	133	3655	3745	141	125	69	2	-1	4
	125	3746	3775	133	117	45	2	-1	3
	117	3776	3837	125	6	14	2	-1	2
	54	3838	3920	-1	-1	-1	1	-1	1
	14	3921	4007	117	-1	-1	1	-1	1
	6	4008	4025	117	-1	-1	1	-1	1
	93	4026	4066	141	-1	-1	1	-1	1
	85	4067	4140	-1	-1	-1	1	-1	1
	69	4141	4150	133	-1	-1	1	-1	1
	61	4151	4162	-1	-1	-1	1	-1	1
	53	4163	4193	109	-1	-1	1	-1	1
	45	4194	4204	125	-1	-1	1	-1	1
	37	4205	4227	-1	-1	-1	1	-1	1
	29	4228	4241	109	-1	-1	1	-1	1
	21	4242	4244	-1	-1	-1	1	-1	1
	5	4245	4260	-1	-1	-1	1	-1	1
	15	4261	4281	-1	-1	-1	1	-1	1
	86	4282	4305	-1	70	46	2	-1	2
	78	4306	4307	-1	22	30	2	-1	2
	70	4308	4326	86	-1	-1	1	-1	1
	62	4327	4443	-1	-1	-1	1	-1	1
	46	4444	4527	86	-1	-1	1	-1	1
	38	4528	4547	-1	-1	-1	1	-1	1
	30	4548	4579	78	-1	-1	1	-1	1
	22	4580	4592	78	-1	-1	1	-1	1
	95	4593	4594	-1	23	7	2	-1	2
	87	4595	4613	-1	55	39	2	-1	2
	79	4614	4616	-1	-1	-1	1	-1	1
	71	4617	4626	-1	-1	-1	1	-1	1
	63	4627	4648	-1	-1	-1	1	-1	1
	55	4649	4666	87	-1	-1	1	-1	1
	47	4667	4669	-1	-1	-1	1	-1	1
	39	4670	4698	87	-1	-1	1	-1	1
	31	4699	4737	-1	-1	-1	1	-1	1
	23	4738	4765	95	-1	-1	1	-1	1
	7	4766	4826	95	-1	-1	1	-1	1
