	113.637084	29.896251	26435.267578	19.014500	167328841728.000000
	113.645417	29.904584	25210.001953	19.014000	167333412864.000000
	113.653750	29.912917	23984.779297	19.013500	167337213952.000000
	113.662084	29.912917	23179.958984	19.013000	167338737664.000000
	113.670417	29.912917	22375.138672	19.012501	167340244992.000000
	113.678750	29.912917	21570.318359	19.011999	167344062464.000000
	113.687084	29.921251	20345.140625	19.011499	167353942016.000000
	113.695417	29.921251	19540.386719	19.011000	167355465728.000000
	113.703750	29.921251	18735.632813	19.010500	167358496768.000000
	113.712084	29.921251	17930.878906	19.010000	167360020480.000000
	113.720417	29.921251	17126.125000	19.009501	167381319680.000000
	113.728750	29.921251	16321.372070	19.009001	167383597056.000000
	113.737084	29.921251	15516.619141	19.008499	167385874432.000000
	113.745417	29.921251	14711.866211	19.007999	167474102272.000000
	113.753750	29.921251	13907.113281	19.007500	167490830336.000000
	113.762084	29.921251	13102.360352	19.007000	167493107712.000000
	113.770417	29.921251	12297.607422	19.006500	167495385088.000000
	113.778750	29.921251	11492.854492	19.006001	167497662464.000000
	113.787084	29.921251	10688.101563	19.005501	167504510976.000000
	113.795417	29.921251	9883.348633	19.004999	167506034688.000000
	113.803750	29.921251	9078.595703	19.004499	167507558400.000000
	113.812084	29.921251	8273.842773	19.004000	167531134976.000000
	113.820417	29.929584	7048.707031	19.003500	167540260864.000000
	113.828750	29.937917	5823.614746	19.003000	167547863040.000000
	113.837084	29.946251	4598.565430	19.002501	167552417792.000000
	113.845417	29.954584	3373.559082	19.002001	167556988928.000000
	113.845417	29.962917	2449.796387	19.001499	167560019968.000000
	113.853750	29.971251	1224.876587	19.000999	167566114816.000000
	113.862084	29.979584	0.000000	19.000500	167569145856.000000
	113.370417	29.687917	62720.496094	19.030500	161815478272.000000
	113.378750	29.696251	61494.156250	19.030001	161820803072.000000
	113.387084	29.704584	60267.859375	19.029499	161826127872.000000
	113.395417	29.712917	59041.605469	19.028999	161831452672.000000
	113.403750	29.721251	57815.394531	19.028500	161838284800.000000
	113.412084	29.729584	56589.226563	19.028000	161843609600.000000
	113.420417	29.737917	55363.101563	19.027500	161848180736.000000
	113.428750	29.737917	54556.878906	19.027000	161852735488.000000
	113.437084	29.746251	53330.796875	19.026501	161858830336.000000
	113.445417	29.754584	52104.757813	19.025999	161864138752.000000
	113.453750	29.754584	51298.667969	19.025499	161866432512.000000
	113.462084	29.762917	50072.671875	19.025000	161877082112.000000
	113.470417	29.762917	49266.648438	19.024500	161879359488.000000
	113.478750	29.771251	48040.695313	19.024000	161952366592.000000
	113.487084	29.779584	46814.785156	19.023500	163263397888.000000
	113.495417	29.787917	45588.917969	19.023001	163284697088.000000
	113.503750	29.796251	44363.093750	19.022499	163292299264.000000
	113.512084	29.804584	43137.312500	19.021999	163295346688.000000
	113.520417	29.812917	41911.574219	19.021500	163301425152.000000
	113.528750	29.821251	40685.878906	19.021000	163306749952.000000
	113.537084	29.821251	39880.324219	19.020500	163309027328.000000
	113.545417	29.829584	38654.671875	19.020000	163315105792.000000
	113.553750	29.837917	37429.062500	19.019501	163319676928.000000
	113.562084	29.837917	36623.640625	19.018999	163321954304.000000
	113.570417	29.846251	35398.074219	19.018499	163327279104.000000
	113.578750	29.846251	34592.718750	19.018000	163340976128.000000
	113.587084	29.854584	33367.195313	19.017500	163347054592.000000
	113.595417	29.862917	32141.714844	19.017000	163351609344.000000
	113.603750	29.871251	30916.277344	19.016500	163365306368.000000
	113.612084	29.879584	29690.882813	19.016001	163373662208.000000
	113.620417	29.887917	28465.531250	19.015499	163378987008.000000
	113.628750	29.896251	27240.222656	19.014999	163382034432.000000
	113.637084	29.896251	26435.267578	19.014500	167328841728.000000
	113.078750	29.379584	109030.312500	19.050501	158254972928.000000
	113.087084	29.387917	107802.390625	19.049999	158266392576.000000
	113.095417	29.396251	106574.515625	19.049500	158274748416.000000
	113.103750	29.396251	105765.578125	19.049000	158277042176.000000
	113.112084	29.404584	104537.742188	19.048500	158281596928.000000
	113.120417	29.412917	103309.953125	19.048000	158301372416.000000
	113.128750	29.421251	102082.203125	19.047501	158305173504.000000
	113.137084	29.429584	100854.492188	19.047001	158315823104.000000
	113.145417	29.437917	99626.828125	19.046499	158320377856.000000
	113.145417	29.446251	98703.140625	19.046000	158321147904.000000
	113.145417	29.454584	97779.445313	19.045500	158976655360.000000
	113.153750	29.462917	96551.906250	19.045000	158980456448.000000
	113.162084	29.471251	95324.414063	19.044500	159147769856.000000
	113.170417	29.479584	94096.960938	19.044001	159151570944.000000
	113.178750	29.487917	92869.554688	19.043501	159157649408.000000
	113.178750	29.496251	91945.859375	19.042999	159159926784.000000
	113.187084	29.504584	90718.539063	19.042500	159181979648.000000
	113.195417	29.512917	89491.257813	19.042000	159186550784.000000
	113.195417	29.521251	88567.554688	19.041500	159188828160.000000
	113.203750	29.529584	87340.359375	19.041000	159197954048.000000
	113.212084	29.537917	86113.203125	19.040501	159225331712.000000
	113.220417	29.546251	84886.093750	19.040001	159231410176.000000
	113.228750	29.554584	83659.023438	19.039499	159281610752.000000
	113.237084	29.562917	82432.000000	19.039000	159310512128.000000
	113.245417	29.571251	81205.015625	19.038500	159319638016.000000
	113.253750	29.579584	79978.078125	19.038000	159322669056.000000
	113.262084	29.587917	78751.179688	19.037500	159331794944.000000
	113.270417	29.587917	77943.757813	19.037001	159500615680.000000
	113.278750	29.596251	76716.906250	19.036501	159502909440.000000
	113.278750	29.604584	75793.195313	19.035999	159505186816.000000
	113.287084	29.612917	74566.429688	19.035500	159510511616.000000
